"","participant","context","cue","response","sq1","sq2","sq3","sq4","sq5","sq6","sq7","sq8","sq_resp","condition","trial_type","type_dur","cue_rt","square_rt","accuracy","correct","square_rt_mili","cue_rt_mili","type_dur_mili","strength_strat","type","counterbalance","block","trialNum","resp_iscue","prop_is_cue","Lg10WF","Lg10CD","aoa","sum_na","nchar","z_cue_rt_mili","z_type_dur_mili","nchar_lg10","wf_z","aoa_z","wl_z","cd_z"
"560","108","short","immigration","ice","1",0,0,0,1,1,0,0,"match","load","mismatch",1.82101154327393,3.86522030830383,3.1193745136261,0.8125,FALSE,3119.3745136261,3865.22030830383,1821.01154327393,"low","nonco","2","2",36,FALSE,0,3.6083,3.2956,3.86,0,3,0.474634683580161,-0.168947347298757,0.477121254719662,0.265221910775153,-0.767794465874847,-1.31399488695285,0.35513154223768
"561","108","short","overdone","overused","0",1,0,1,1,0,0,0,"match","load","match",2.5846962928772,3.39862275123596,2.36026787757874,0.8125,TRUE,2360.26787757874,3398.62275123596,2584.6962928772,"low","nonco","2","2",37,FALSE,0,1,0.9542,NA,1,8,0.279348077721187,0.698018613486289,0.903089986991944,-2.72737955481919,NA,1.43434061248146,-3.00502028851316
"562","108","short","teller","book","0",1,0,0,0,0,1,1,"match","load","mismatch",1.58262014389038,1.4786182641983,0.896629512310028,0.8125,FALSE,896.629512310028,1478.6182641983,1582.62014389038,"high","co","2","2",39,FALSE,0,3.9555,3.5112,3.68,0,4,-0.524237697274728,-0.439578951133735,0.602059991327962,0.663577632453777,-0.848517814307241,-0.764327787065989,0.664539902496449
"563","108","short","bits","pieces","0",0,0,1,0,0,1,1,"match","load","match",1.81574594974518,1.09912645816803,0.590049684047699,0.8125,TRUE,590.049684047699,1099.12645816803,1815.74594974518,"low","co","2","2",40,FALSE,0,3.2514,3.1028,4.89,0,6,-0.683067647471327,-0.174925063044849,0.778151250383644,-0.144262988611659,-0.305877527622814,0.335006412707736,0.0784435466073893
"564","108","short","knapsack","backpack","0",0,1,0,0,1,1,0,"mismatch","load","mismatch",3.27021074295044,2.23751950263977,4.04523468017578,0.8125,TRUE,4045.23468017578,2237.51950263977,3270.21074295044,"high","co","2","2",43,FALSE,0,2.2718,2.1206,5.38,0,8,-0.206612272982486,1.4762424737225,0.903089986991944,-1.26819520334778,-0.0861306346679632,1.43434061248146,-1.33111531909837
"565","108","short","genes","biology","0",0,0,1,0,0,1,1,"mismatch","load","match",2.24234175682068,1.29971075057983,3.16291618347168,0.8125,FALSE,3162.91618347168,1299.71075057983,2242.34175682068,"low","co","2","2",44,FALSE,0,2.3997,2.2856,9.35,0,7,-0.59911644571219,0.309363832262036,0.845098040014257,-1.12145068490683,1.69426766131317,0.884673512594598,-1.09432320665544
"566","108","short","runner","hill","0",1,0,1,0,0,0,1,"match","load","match",1.2231320142746,1.34622776508331,0.710986793041229,0.8125,TRUE,710.986793041229,1346.22776508331,1223.1320142746,"low","co","2","2",45,FALSE,0,3.2824,2.9643,3.47,0,4,-0.579647527070261,-0.847684484005871,0.602059991327962,-0.108695513461781,-0.942695054145034,-0.764327787065989,-0.120318317473498
"567","108","short","plaything","playground","0",0,0,1,0,0,1,1,"mismatch","load","mismatch",2.91773009300232,3.12737035751343,0.718236327171326,0.8125,TRUE,718.236327171326,3127.37035751343,2917.73009300232,"high","co","2","2",46,FALSE,0,2.4166,2.2878,4.28,0,10,0.165819923750396,1.0760921165245,1,-1.10206067426061,-0.57943998619926,2.53367481225518,-1.09116597848953
"568","108","short","odor","body","1",1,0,0,1,0,0,0,"mismatch","load","mismatch",1.28117156028748,1.38604235649109,0.703818082809448,0.8125,TRUE,703.818082809448,1386.04235649109,1281.17156028748,"high","nonco","2","2",47,FALSE,0,3.9988,3.5979,4.28,0,4,-0.562983795548504,-0.781795632881473,0.602059991327962,0.7132573638728,-0.57943998619926,-0.764327787065989,0.788963394307373
"569","108","short","modification","adjust","1",0,1,0,0,1,0,0,"match","load","match",1.41244578361511,2.0975513458252,0.60023307800293,0.8125,TRUE,600.23307800293,2097.5513458252,1412.44578361511,"high","nonco","2","2",48,FALSE,0,2.4594,2.3962,8.43,0,6,-0.265193604707459,-0.632767800110583,0.778151250383644,-1.05295461179562,1.28168165821427,0.335006412707736,-0.935600736133083
"570","108","short","adored","love","1",0,1,0,0,1,0,0,"mismatch","load","mismatch",0.998123526573181,1.10497868061066,1.49914133548737,0.8125,TRUE,1499.14133548737,1104.97868061066,998.123526573181,"low","co","2","2",49,FALSE,0,4.7548,3.8679,5.17,0,4,-0.680618297618888,-1.10312326267231,0.602059991327962,1.58064482236658,-0.180307874505756,-0.764327787065989,1.17644139648672
"571","108","short","algorithm","twitter","0",0,1,1,0,1,0,0,"match","load","match",1.80025768280029,2.09550833702087,6.25901460647583,0.8125,TRUE,6259.01460647583,2095.50833702087,1800.25768280029,"high","nonco","2","2",50,FALSE,0,0.9542,0.9031,18.14,0,7,-0.266048671882785,-0.192507973060721,0.845098040014257,-2.77992763100836,5.63625784309508,0.884673512594598,-3.07835408818488
"572","108","short","salmon","fish","1",0,1,1,0,0,0,0,"mismatch","load","mismatch",0.992511093616486,1.36322712898254,0.543461799621582,0.8125,TRUE,543.461799621582,1363.22712898254,992.511093616486,"high","co","2","2",52,FALSE,0,3.6293,3.2327,4.05,0,4,-0.572532727544726,-1.10949472463115,0.602059991327962,0.289316006844425,-0.682586486973986,-0.764327787065989,0.264863518767009
"573","108","short","television","show","0",0,1,1,0,1,0,0,"match","load","match",0.917236924171448,1.56956934928894,1.06215274333954,0.8125,TRUE,1062.15274333954,1569.56934928894,917.236924171448,"low","co","2","2",53,FALSE,0,4.3963,3.8216,6.21,0,4,-0.486171641339597,-1.19494902062059,0.602059991327962,1.16932418232687,0.286093694214743,-0.764327787065989,1.10999609463152
"574","108","short","ponytail","holder","1",0,0,0,1,0,0,1,"match","load","match",1.36052787303925,1.30591106414795,1.47714507579803,0.8125,TRUE,1477.14507579803,1305.91106414795,1360.52787303925,"high","co","2","2",54,FALSE,0,1.9191,1.8692,6.85,0,6,-0.596521408139366,-0.691707121928573,0.778151250383644,-1.67286128352073,0.573110044196588,0.335006412707736,-1.6919003922387
"575","108","short","pony","horse","1",0,0,0,0,1,0,1,"mismatch","load","mismatch",1.02540564537048,1.48277401924133,1.76111650466919,0.8125,TRUE,1761.11650466919,1482.77401924133,1025.40564537048,"high","co","2","2",55,FALSE,0,3.6756,3.1981,4.15,0,5,-0.522498375486945,-1.07215149277951,0.698970004336019,0.342437751987629,-0.637740182289323,-0.214660687179126,0.215208930339582
"576","108","short","added","math","0",0,1,0,1,0,0,1,"mismatch","load","mismatch",1.03732240200043,1.63225412368774,1.30206704139709,0.8125,TRUE,1302.06704139709,1632.25412368774,1037.32240200043,"low","nonco","2","2",56,FALSE,0,2.9227,2.7067,5.56,0,4,-0.459935977123298,-1.05862310640478,0.602059991327962,-0.521392958991163,-0.00540728623556924,-0.764327787065989,-0.490001033626832
"577","108","short","symmetry","perfect","0",0,1,0,0,1,1,0,"match","load","match",2.77503609657288,3.22361278533936,0.75326669216156,0.8125,TRUE,753.26669216156,3223.61278533936,2775.03609657288,"low","nonco","2","2",57,FALSE,0,3.9081,3.5928,5.78,0,7,0.206100582714538,0.914100093275413,0.845098040014257,0.609193815611707,0.0932545840706905,0.884673512594598,0.781644365377318
"578","108","short","vehicle","car","1",0,1,0,0,1,0,0,"match","load","mismatch",1.17270994186401,1.00140178203583,6.01982975006104,0.8125,FALSE,6019.82975006104,1001.40178203583,1172.70994186401,"high","co","2","2",59,FALSE,0,4.3916,3.7122,3.37,0,3,-0.723968676680421,-0.904925669553866,0.477121254719662,1.16393169415899,-0.987541358829697,-1.31399488695285,0.952995748563297
"579","108","short","countries","flag","0",0,1,0,1,0,0,1,"mismatch","load","mismatch",1.24590349197388,1.88209664821625,0.515567004680634,0.8125,TRUE,515.567004680634,1882.09664821625,1245.90349197388,"low","nonco","2","2",60,FALSE,0,2.9509,2.6972,5.33,0,4,-0.355368565924204,-0.821833377181612,0.602059991327962,-0.489038029983855,-0.108553787010295,-0.764327787065989,-0.503634518888698
"580","108","short","growth","tree","0",0,1,0,0,0,1,1,"match","load","mismatch",1.15527021884918,2.77093434333801,1.21452164649963,0.8125,FALSE,1214.52164649963,2770.93434333801,1155.27021884918,"low","co","2","2",62,FALSE,0,3.5206,3.2103,3.57,0,4,0.0166395897348603,-0.924723951799561,0.602059991327962,0.164600376238243,-0.89784874946037,-0.764327787065989,0.232717195623242
"581","108","short","vanish","poof","0",0,1,0,1,0,1,0,"match","load","match",1.64671850204468,1.22733664512634,0.843115627765656,0.8125,TRUE,843.115627765656,1227.33664512634,1646.71850204468,"high","nonco","2","2",64,FALSE,0,2.0453,1.9243,5.67,0,4,-0.629407417432892,-0.366811890260969,0.602059991327962,-1.52806723952349,0.0439236489175606,-0.764327787065989,-1.61282617771988
"582","109","short","stethoscope","stetchoscope","1",0,1,0,0,0,0,1,"match","load","mismatch",5.29063987731934,3.56275200843811,2.4623646736145,0.53125,FALSE,2462.3646736145,3562.75200843811,5290.63987731934,"high","co","2","2",36,FALSE,0,NA,NA,NA,NA,12,0.707106781186548,-0.707106781186548,1.07918124604762,NA,NA,3.63300901202891,NA
"583","109","short","algorithm","algorithim","1",0,0,0,1,1,0,0,"match","load","match",9.8411979675293,3.13568139076233,1.13389837741852,0.53125,TRUE,1133.89837741852,3135.68139076233,9841.1979675293,"high","nonco","2","2",41,FALSE,0,NA,NA,NA,NA,10,-0.707106781186548,0.707106781186548,1,NA,NA,2.53367481225518,NA
"584","11","short","detest","object","1",1,1,1,1,1,1,1,"match","no_load","match",4.06843757629395,5.8941912651062,2.27031278610229,0.96875,TRUE,2270.31278610229,5894.1912651062,4068.43757629395,"high","nonco","2","1",1,FALSE,0,3.1189,2.9159,7.94,0,6,2.58512099362002,0.320841299131358,0.778151250383644,-0.296285261429682,1.06193476525942,0.335006412707736,-0.189777337123426
"585","11","short","modification","mutation","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",6.29758977890015,2.18919062614441,2.30814218521118,0.96875,TRUE,2308.14218521118,2189.19062614441,6297.58977890015,"high","nonco","2","1",2,FALSE,0,1.9494,1.7243,10.83,0,8,-0.375802612753452,1.48350550381232,0.903089986991944,-1.6380969449065,2.35799297064619,1.43434061248146,-1.89984692007495
"586","11","short","reuse","recycle","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",4.57046222686768,1.51107847690582,1.54619896411896,0.96875,TRUE,1546.19896411896,1511.07847690582,4570.46222686768,"high","co","2","1",3,FALSE,0,1.6532,1.5798,10.61,0,7,-0.917729177983901,0.582683487568348,0.845098040014257,-1.97793843327404,2.25933110033993,0.884673512594598,-2.10721940642649
"587","11","short","apostle","john","1",1,1,1,1,1,1,1,"match","no_load","match",5.65654897689819,4.0435094833374,1.99688339233398,0.96875,TRUE,1996.88339233398,4043.5094833374,5656.54897689819,"low","nonco","2","1",4,FALSE,0,3.9947,3.3004,NA,1,4,1.10611251035561,1.14915633135282,0.602059991327962,0.708553278449751,NA,-0.764327787065989,0.362020040054201
"588","11","short","arachnid","spider","1",1,1,1,1,1,1,1,"match","no_load","match",1.99944984912872,2.28532910346985,1.95928180217743,0.96875,TRUE,1959.28180217743,2285.32910346985,1999.44984912872,"high","nonco","2","1",5,FALSE,0,2.7126,2.3655,3.43,0,6,-0.298971671349496,-0.758285539981195,0.778151250383644,-0.762448653474685,-0.960633576018899,0.335006412707736,-0.979658420084587
"589","11","short","nemesis","arch","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",2.29341316223145,3.63976979255676,1.93615078926086,0.96875,TRUE,1936.15078926086,3639.76979255676,2293.41316223145,"high","nonco","2","1",6,FALSE,0,2.2765,2.0719,8.26,0,4,0.783456052839502,-0.604962397113532,0.602059991327962,-1.26280271517989,1.20544294025034,-0.764327787065989,-1.40100486986183
"590","11","short","forum","moodle","1",1,1,1,1,1,1,1,"match","no_load","match",3.95639038085938,1.90633487701416,1.64545106887817,0.96875,TRUE,1645.45106887817,1906.33487701416,3956.39038085938,"low","co","2","1",7,FALSE,0,NA,NA,NA,3,6,-0.60185230785766,0.262400577490926,0.778151250383644,NA,NA,0.335006412707736,NA
"591","11","short","multitude","many","1",1,1,1,1,1,1,1,"match","no_load","match",1.92661023139954,3.29076313972473,3.98386788368225,0.96875,TRUE,3983.86788368225,3290.76313972473,1926.61023139954,"low","nonco","2","1",8,FALSE,0,4.2632,3.7992,4.6,0,4,0.504540571345463,-0.796276672267881,0.602059991327962,1.01661350676401,-0.435931811208338,-0.764327787065989,1.07784977148775
"592","11","short","genes","dna","1",1,1,1,1,1,1,1,"match","no_load","match",2.71697902679443,3.6474084854126,2.47055578231812,0.96875,TRUE,2470.55578231812,3647.4084854126,2716.97902679443,"low","co","2","1",9,FALSE,0,NA,NA,NA,3,3,0.789560663392286,-0.384042143899612,0.477121254719662,NA,NA,-1.31399488695285,NA
"593","11","short","haiku","poem","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",1.89835405349731,2.19499707221985,1.38153409957886,0.96875,TRUE,1381.53409957886,2194.99707221985,1898.35405349731,"high","nonco","2","1",10,FALSE,0,2.8432,2.4983,6.89,0,4,-0.371162277992614,-0.811014314035725,0.602059991327962,-0.612606322681977,0.591048566070454,-0.764327787065989,-0.789076647160818
"594","11","short","added","subtracted","1",1,1,1,1,1,1,1,"mismatch","no_load","mismatch",4.16333198547363,1.43824875354767,1.23605835437775,0.96875,TRUE,1236.05835437775,1438.24875354767,4163.33198547363,"low","nonco","2","1",11,FALSE,0,0.699,0.699,6.53,0,10,-0.975932473516189,0.370335601336734,1,-3.07272826514542,0.429601869205666,2.53367481225518,-3.37125875575823
